anbieten,"offrir, proposer"
anfangen,commencer
anziehen,mettre (vêtement)
aufgeben,abandonner
ausblasen,souffler (bougie)
ausgeben,dépenser (argent)
aussehen,avoir l'air
ausziehen,enlever (vêtement)
ausziehen,déménager
backen,faire cuire au four (pâtisserie)
befehlen,donner un ordre
sich befinden,se trouver
beginnen,commencer
beißen,mordre
beschreiben,décrire
binden,attacher
bitten,"prier, demander (poliment)"
bleiben,rester
brennen,brûler
bringen,apporter
denken,penser
dürfen,avoir le droit
einladen,inviter
empfangen,recevoir
empfinden,ressentir
sich entschließen,se décider
erfahren,apprendre (une nouvelle)
ertragen,supporter (un problème)
erziehen,éduquer
essen,manger
fahren,aller (en véhicule)
fallen,tomber
fangen,attraper
fernsehen,regarder la télévision
finden,trouver
fliegen,"voler (avion, oiseau)"
fliehen,fuir
fließen,couler
fressen,"bouffer, manger (animaux)"
frieren,"geler, avoir froid"
geben,donner
gefallen,plaire
gehen,aller (à pied)
gelingen,réussir
geschehen,"arriver, se passer"
gewinnen,gagner
gießen,verser
gleichen,ressembler
haben,avoir
halten,tenir;arrêter
hängen,"être suspendu, être accroché"
heißen,s'appeler
helfen,aider
kennen,connaître
kommen,venir
können,"pouvoir, savoir"
lassen,laisser
laufen,"aller, courir"
leiden,souffrir
leihen,prêter
lesen,lire
liegen,"être allongé, posé, situé"
lügen,mentir
mitnehmen,emmener
mögen,aimer bien
müssen,être obligé
nehmen,prendre
nennen,appeler (par un nom)
raten,"conseiller, conseiller"
reiten,faire du cheval
rennen,courir (vite)
riechen,sentir (odeur)
rufen,"appeler, crier"
scheinen,briller;sembler
schießen,tirer (un projectile)
schlafen,dormir
schlagen,"frapper, battre, taper"
schließen,fermer
schneiden,couper
schreiben,écrire
schreien,crier (fort)
schweigen,se taire
schwimmen,nager
sehen,voir
sein,être
singen,chanter
sitzen,être assis
sollen,"devoir, avoir l'obligation morale"
sprechen,parler
springen,sauter
stehen,être debout
stehlen,"voler, dérober"
steigen,monter
sterben,mourir
(sich) streiten,se disputer
tragen,porter
(sich) treffen,(se) rencontrer
treiben,faire (du sport)
treten,donner un coup de pied
trinken,boire
tun,faire (familier)
umziehen,déménager
unterbrechen,interrompre
unternehmen,entreprendre
verbieten,interdire
verbringen,passer (du temps)
vergessen,oublier
verlassen,quitter
verlieren,perdre
vermeiden,éviter
verschwinden,disparaître
verzeihen,pardonner
vorschlagen,proposer
wachsen,"pousser, grandir"
waschen,laver
werben,faire de la publicité
werden,devenir
werfen,"lancer, jeter"
wissen,savoir
wollen,vouloir
zerbrechen,casser (en morceaux)
ziehen,tirer (vers soi)
zwingen,"contraindre, obliger"
