 Accendere  ,allumer     
 Apparire    ,apparaître 
 Aprire  ,ouvrir   
 Chiedere ,demander
 Chiudere   ,fermer   
 Compire ," effectuer
achever"
 Condurre ,conduire 
 Decidere ,décider
 Dirigere ,diriger 
 Espellere  ,expulser
 Leggere  ,lire 
 Morire ,mourir 
 Nascere ,naître 
 Offrire,offrir 
 Piacere,plaire
Prendere,prendre  
 Rimanere,"rester
demeurer"
 Salire ,monter  
 Scegliere,choisir
 Scrivere ,écrire
 Sopprimere,supprimer
 Stare  ,"être
se porter "
 Tenere , tenir 
 Uscire,sortir 
 Vedere,voir
 Vivere ,vivre 
Volere,vouloir  
 Andare  ,aller 
 Appendere ,pendre   
 Bere   ,boire  
 Cogliere ,cueillir 
Concludere, conclure 
  Costruire,construire 
 Correre ,courir   
 Dire ,dire
 Discutere  ,discuter 
 Fare  ,faire 
 Mordere ,mordre 
 Muovere,"mouvoir
bouger"
 Nascondere,cacher  
 Perdere ,perdre
 Piangere ,pleurer
 Potere ,pouvoir
 Pungere ,piquer  
 Rompere,"rompre
casser"
 Sapere ,savoir
 Scendere,descendre
 Sedere,"s'asseoir
siéger"
 Spendere , dépenser
 Tacere ,se taire 
 Uccidere,tuer 
 Valere ,valoir
 Venire ,venir 
 Vincere ,vaincre 
Volgere ,tourner
